np_tag_id,record_id,table_id,title,description
1,1,1,16.1.1,Homicide
2,2,1,16.3.2,Unsentenced Detainees
3,3,1,16.5.1,"Prevalence rate of bribery, by sex (%)"
4,4,1,16.6.1,Primary government expenditures as a proportion of original approved budget (%)
